Packet,Benchmark,Component,Percentile Rank,# Compatible Public Results,Intervals,ns/day (Average),Microarchitecture,Release Date,Atoms,Market,Natoms*ns/day,vendor_id,Mem Bandwidth. GB/s,Mem Channels,CPU MHz,CPU max MHz,L3 cache,Cache L3. KB,L2 cache,Cache L2. KB,Core(s) per socket,Thread(s) per core,Socket(s),Cores,Threads,wiki FP32,GFLOPS,Base TDP. W,Price.$
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 4800U,8th,3,0.2,4.6,Zen 2,Q1'20,19605,Mobile,90183,AuthenticAMD,68.256,2,3100,4300,8 MiB,8192,4 MiB,4096,8,2,1,8,16,32,793.6,15,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 1700 Eight-Core,8th,7,0.1,4.6,Zen,Q1'17,19605,Desktop,90183,AuthenticAMD,42.656,2,3000,3700,16 MiB,16384,4 MiB,4096,8,2,1,8,16,16,384,65,329
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 7 4700U,7th,4,0.2,4.4,Zen 2,Q1'20,19605,Mobile,86262,AuthenticAMD,68.256,2,2000,4100,8 MiB,8192,4 MiB,4096,8,1,1,8,8,32,512,15,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i7-10700T,6th,3,0,3.9,Comet Lake,Q2'20,19605,Desktop,76459.5,GenuineIntel,46.928,2,2000,4500,16 MiB,16384,2 MiB,2048,8,2,1,8,16,32,512,35,355
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen 5 5500U,5th,3,0.1,3.7,Zen 2,Q1'21,19605,Mobile,72538.5,AuthenticAMD,68.272,2,2200,4000,8 MiB,8192,3 MiB,3072,6,2,1,6,12,32,422.4,15,0.01
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i7-1280P,5th,8,0.3,3.4,Alder Lake,Q1'22,19605,Mobile,66657,GenuineIntel,76.8,2,1800,4800,24 MiB,24576,17.5 MiB,17920,14,1.428571429,1,14,20,32,806.4,28,482
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Xeon E3-1275 v6,5th,3,0,3.2,Kaby Lake,Q1'17,19605,Server,62736,GenuineIntel,38.4,2,3800,4200,8192 K,8192,1024 K,1024,4,2,1,4,8,32,486.4,73,339
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Xeon E3-1280 v5,4th,4,0.1,2.9,Skylake,Q4'15,19605,Server,56854.5,GenuineIntel,34.128,2,3700,4000,8192 K,8192,1024 K,1024,4,2,1,4,8,32,473.6,80,612
LAMMPS_23Jun2022,Model_20k_Atoms,Apple M2,3rd,10,0.2,2.5,,,19605,,49012.5,Apple,102.4,2,3500,3500,8 MiB,8192,20 MiB,20480,8,1,1,8,8,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Core i7-1065G7,2nd,3,0.1,2.1,Ice Lake,Q3'19,19605,Mobile,41170.5,GenuineIntel,59.728,2,1300,3900,8 MiB,8192,1 MiB,1024,4,2,1,4,8,64,332.8,25,426
